name,imgSrc,category,isSelected
Thomas' Swirl Bread,thomas_swirl_bread.jpg,Grocery,FALSE
Krusteaz Pancake Mix,krusteaz_pancake_mix.jpg,,FALSE
Publix Assorted Pork Loin Chops,publix_assorted_pork_loin_chops.jpg,Meat,FALSE
Nature's Own Butterbread,natures_own_butterbread.jpg,Grocery,FALSE
Spice Islands Spices,spice_islands_spices.jpg,,FALSE
Community Coffee Ground Coffee,community_coffee_ground_coffee.jpg,Grocery,FALSE
Hunt's Tomato Ketchup,hunts_tomato_ketchup.jpg,Grocery,FALSE
Peter Pan Peanut Butter,peter_pan_peanut_butter.jpg,Grocery,FALSE
Unreal Chocolates,unreal_chocolates.jpg,,FALSE
Orville Redenbacher's Gourmet Popping Corn,orville_redenbachers_gourmet_popping_corn.jpg,Protein,FALSE
Lay's Potato Chips,lays_potato_chips.jpg,Grocery,FALSE
Nabisco Ritz Crackers,nabisco_ritz_crackers.jpg,,FALSE
6-Pack Pepsi Products,6pack_pepsi_products.jpg,Grocery,FALSE
Farmrich Snacks,farmrich_snacks.jpg,,FALSE
Celentano Pasta,celentano_pasta.jpg,Frozen Food,FALSE
Newman's Own Pizza,newmans_own_pizza.jpg,Frozen Food,FALSE
Horizon Organic Coffee Creamer,horizon_organic_coffee_creamer.jpg,,FALSE
Mayfield Creamery Ice Cream,mayfield_creamery_ice_cream.jpg,Frozen Food,FALSE
Oikos Triple Zero Blended Greek Yogurt,oikos_triple_zero_blended_greek_yogurt.jpg,,FALSE
Colgate Optic White Advanced Toothpaste,colgate_optic_white_advanced_toothpaste.jpg,,FALSE
Nature's Truth Supplements,natures_truth_supplements.jpg,Health & Nutrition,FALSE
Quilted Northern Bathroom Tissue,quilted_northern_bathroom_tissue.jpg,Non-Foods,FALSE
Seventh Generation Dish Detergent,seventh_generation_dish_detergent.jpg,,FALSE
Weiman Cleaners,weiman_cleaners.jpg,,FALSE
Carbona Carpet Cleaner,carbona_carpet_cleaner.jpg,,FALSE
Once Upon a Farm Snacks,once_upon_a_farm_snacks.jpg,Baby,FALSE
Boogie Diaper Rash Spray or Wipes,boogie_diaper_rash_spray_or_wipes.jpg,,FALSE
Feit Electric LED Light Bulbs,feit_electric_led_light_bulbs.jpg,,FALSE
Dasani Purified Water,dasani_purified_water.jpg,Grocery,FALSE
Bartlett Pears,bartlett_pears.jpg,,FALSE
Scrubbing Bubbles Bathroom Cleaner,scrubbing_bubbles_bathroom_cleaner.jpg,,FALSE
Tide or Gain Laundry Detergent,tide_or_gain_laundry_detergent.jpg,Non-Foods,FALSE
Maxwell House Ground Coffee,maxwell_house_ground_coffee.jpg,Grocery,FALSE
Mike's Amazing Vegetable Oil,mikes_amazing_vegetable_oil.jpg,,FALSE
Nabisco Cookies or Crackers,nabisco_cookies_or_crackers.jpg,Grocery,FALSE
Mutti Tomatoes,mutti_tomatoes.jpg,,FALSE
Drizzilicious Drizzled Popcorn,drizzilicious_drizzled_popcorn.jpg,,FALSE
Kashi Granola,kashi_granola.jpg,,FALSE
Kellogg's Cereal-All,kelloggs_cerealall.jpg,Grocery,FALSE
Palmolive Ultra Dish Liquid,palmolive_ultra_dish_liquid.jpg,,FALSE
Fatty Smoked Meat Sticks,fatty_smoked_meat_sticks.jpg,,FALSE
Bellafina Baby Bell Peppers,bellafina_baby_bell_peppers.jpg,,FALSE
Lysol Laundry Sanitizer,lysol_laundry_sanitizer.jpg,Non-Foods,FALSE
H.K. Anderson Pretzel Nuggets,hk_anderson_pretzel_nuggets.jpg,,FALSE
Rockit Apples,rockit_apples.jpg,Produce,FALSE
Quest Protein Milkshake,quest_protein_milkshake.jpg,,FALSE
Classico Pasta Sauce,classico_pasta_sauce.jpg,,FALSE
Lysol Disinfectant Spray,lysol_disinfectant_spray.jpg,Non-Foods,FALSE
Minute Maid Drink,minute_maid_drink.jpg,,FALSE
Monster Energy Drink,monster_energy_drink.jpg,Grocery,FALSE
Knorr Sides,knorr_sides.jpg,,FALSE
Hormel Marinated Pork Tenderloin,hormel_marinated_pork_tenderloin.jpg,,FALSE
Springer Mountain Farms Chicken Breasts,springer_mountain_farms_chicken_breasts.jpg,,FALSE
Strawberries,strawberries.jpg,Produce,FALSE
Publix Cantaloupe Chunks,publix_cantaloupe_chunks.jpg,,FALSE
Crunchmaster Crackers,crunchmaster_crackers.jpg,Deli,FALSE
Joseph's Lavash Bread,josephs_lavash_bread.jpg,Deli,FALSE
Mama Mancini's Chicken Panini,mama_mancinis_chicken_panini.jpg,Deli,FALSE
Ammerlnder Cheese,ammerlnder_cheese.jpg,,FALSE
Mission Flour Tortillas,mission_flour_tortillas.jpg,Grocery,FALSE
Lunchables,lunchables.jpg,Meat,FALSE
Calbee Harvest Snaps,calbee_harvest_snaps.jpg,Produce,FALSE
GT's Organic Immortal Shot,gts_organic_immortal_shot.jpg,Produce,FALSE
Ball Park Franks,ball_park_franks.jpg,Meat,FALSE
Cacique Ranchero Chunk Cheese,cacique_ranchero_chunk_cheese.jpg,Meat,FALSE
7UP Products,7up_products.jpg,Grocery,FALSE
Sunny D Citrus Punch,sunny_d_citrus_punch.jpg,Grocery,FALSE
Doctor D's Organic Sparkling Probiotic Drink,doctor_ds_organic_sparkling_probiotic_drink.jpg,Produce,FALSE
Tsamma 100% Watermelon Juice Blend,tsamma_100_watermelon_juice_blend.jpg,,FALSE
So Good So You Probiotic Shot,so_good_so_you_probiotic_shot.jpg,Produce,FALSE
Wise Cheez Doodles Corn Snacks,wise_cheez_doodles_corn_snacks.jpg,Grocery,FALSE
Graza Olive Oil,graza_olive_oil.jpg,,FALSE
Roar Organic Vitamin Enhanced Beverage,roar_organic_vitamin_enhanced_beverage.jpg,Grocery,FALSE
Belgioioso Crumbly Gorgonzola Cheese,belgioioso_crumbly_gorgonzola_cheese.jpg,Deli,FALSE
Ralston Family Farms Rice,ralston_family_farms_rice.jpg,,FALSE
Bumble Bee Albacore White Tuna,bumble_bee_albacore_white_tuna.jpg,Seafood,FALSE
Nature's Path Organic Cereal,natures_path_organic_cereal.jpg,,FALSE
Nature's Path Granola,natures_path_granola.jpg,,FALSE
Bare Apple Chips,bare_apple_chips.jpg,Produce,FALSE
Pirucream Bites Bite-Sized Wafer Rolls,pirucream_bites_bitesized_wafer_rolls.jpg,Grocery,FALSE
Chifles Plantain Chips,chifles_plantain_chips.jpg,Grocery,FALSE
Rico's Pork Cracklings,ricos_pork_cracklings.jpg,,FALSE
Zep Home Pro Cleaners,zep_home_pro_cleaners.jpg,Non-Foods,FALSE
Bfree Wraps,bfree_wraps.jpg,,FALSE
Flora Tomatoes,flora_tomatoes.jpg,,FALSE
Egglife Power Pasta Fettuccine,egglife_power_pasta_fettuccine.jpg,Dairy,FALSE
Big League Chew Bubble Gum,big_league_chew_bubble_gum.jpg,,FALSE
Donut Shop K-Cup Coffee,donut_shop_kcup_coffee.jpg,Grocery,FALSE
Badia Seasoning,badia_seasoning.jpg,,FALSE
Fresh Press Farms Olive Oil,fresh_press_farms_olive_oil.jpg,,FALSE
Fishwife Tinned Seafood Co Seafood,fishwife_tinned_seafood_co_seafood.jpg,,FALSE
Mighty Sparks Mini Stick,mighty_sparks_mini_stick.jpg,Meat,FALSE
Midwest Fresh Bacon Jam,midwest_fresh_bacon_jam.jpg,,FALSE
Lactaid Coffee Creamer,lactaid_coffee_creamer.jpg,Dairy,FALSE
Banquet Meal,banquet_meal.jpg,Frozen Food,FALSE
Cafe Bustelo Espresso Ground Coffee,cafe_bustelo_espresso_ground_coffee.jpg,,FALSE
Core Hydration Nutrient Enhanced Water,core_hydration_nutrient_enhanced_water.jpg,Grocery,FALSE
Del Monte Tomatoes,del_monte_tomatoes.jpg,Grocery,FALSE
Eggland's Best Quiche,egglands_best_quiche.jpg,Frozen Food,FALSE
Fage Greek Strained Yogurt,fage_greek_strained_yogurt.jpg,Dairy,FALSE
Glaceau Smartwater,glaceau_smartwater.jpg,Grocery,FALSE
6-Pack Golden Road Brewing Beer,6pack_golden_road_brewing_beer.jpg,Beer & Wine,FALSE
Hefty Press to Close Bags,hefty_press_to_close_bags.jpg,Non-Foods,FALSE
Hormel Black Label Bacon,hormel_black_label_bacon.jpg,,FALSE
La Colombe Cold Brew Coffee,la_colombe_cold_brew_coffee.jpg,Dairy,FALSE
Lance Sandwich Crackers,lance_sandwich_crackers.jpg,Grocery,FALSE
Lawry's 15 Minute Marinade,lawrys_15_minute_marinade.jpg,Grocery,FALSE
Lindsay Olives,lindsay_olives.jpg,,FALSE
Lysol Disinfecting Wipes,lysol_disinfecting_wipes.jpg,Non-Foods,FALSE
Made by James Chardonnay Wine,made_by_james_chardonnay_wine.jpg,Beer & Wine,FALSE
Marie Callender's Pot Pie,marie_callenders_pot_pie.jpg,Frozen Food,FALSE
Mueller's Protein Pasta,muellers_protein_pasta.jpg,,FALSE
Nature Valley Granola,nature_valley_granola.jpg,Grocery,FALSE
North Coast Organic Juice,north_coast_organic_juice.jpg,Grocery,FALSE
Veggie Wash Produce Wash,veggie_wash_produce_wash.jpg,,FALSE
"Brutus Bone Broth, Made for Dogs",brutus_bone_broth_made_for_dogs.jpg,,FALSE
Brownie Brittle Thin & Crispy Brownie Snack,brownie_brittle_thin_crispy_brownie_snack.jpg,,FALSE
Kristin Ess Shampoo,kristin_ess_shampoo.jpg,,FALSE
De Wafelbakkers Pancakes,de_wafelbakkers_pancakes.jpg,,FALSE
Electrolyte Drink Mix,electrolyte_drink_mix.jpg,,FALSE
6-Pack Famosa Lager Beer,6pack_famosa_lager_beer.jpg,Beer & Wine,FALSE
"Dragon Fruit, Yellow",dragon_fruit_yellow.jpg,,FALSE
Two Dozen Cookies,two_dozen_cookies.jpg,Bakery,FALSE
Publix Allergy Relief Nasal Spray,publix_allergy_relief_nasal_spray.jpg,,FALSE
Publix Premium Single-Serve Coffee,publix_premium_singleserve_coffee.jpg,Grocery,FALSE
GreenWise Organic Grain Bars,greenwise_organic_grain_bars.jpg,Protein,FALSE
Purina Beneful Dog Food,purina_beneful_dog_food.jpg,Pet,FALSE
Rao's Soup,raos_soup.jpg,,FALSE
Rosina Meatballs,rosina_meatballs.jpg,Frozen Food,FALSE
