storenumber,cutoverDay
4,thursday
6,thursday
10,thursday
12,thursday
15,thursday
17,wednesday
19,thursday
21,thursday
22,thursday
23,thursday
24,thursday
26,wednesday
27,thursday
28,thursday
31,thursday
32,thursday
33,wednesday
35,wednesday
42,wednesday
44,thursday
45,wednesday
49,wednesday
50,thursday
51,thursday
53,thursday
54,thursday
55,thursday
56,thursday
61,thursday
62,thursday
67,wednesday
69,thursday
70,thursday
73,thursday
74,wednesday
75,wednesday
84,thursday
86,wednesday
91,thursday
92,wednesday
94,thursday
95,thursday
97,thursday
99,thursday
102,thursday
103,thursday
111,thursday
114,thursday
118,thursday
119,wednesday
122,wednesday
123,wednesday
126,thursday
127,thursday
128,thursday
129,thursday
133,thursday
140,thursday
142,wednesday
144,thursday
146,wednesday
148,thursday
153,wednesday
155,wednesday
157,thursday
160,wednesday
162,thursday
165,wednesday
167,thursday
176,wednesday
179,thursday
180,thursday
181,thursday
182,wednesday
184,thursday
188,thursday
205,wednesday
209,wednesday
212,thursday
215,thursday
223,thursday
226,wednesday
227,thursday
228,thursday
229,thursday
235,thursday
238,thursday
239,thursday
240,thursday
242,thursday
246,thursday
252,thursday
263,thursday
266,thursday
269,wednesday
279,thursday
280,wednesday
282,wednesday
284,thursday
287,thursday
293,thursday
294,thursday
302,thursday
303,thursday
305,thursday
306,thursday
313,thursday
324,thursday
327,thursday
328,thursday
331,thursday
340,thursday
343,thursday
348,thursday
353,thursday
360,wednesday
361,thursday
368,thursday
369,thursday
371,thursday
372,thursday
374,thursday
375,thursday
379,thursday
383,wednesday
385,thursday
386,thursday
388,thursday
393,thursday
395,thursday
396,thursday
398,thursday
399,thursday
401,thursday
402,thursday
405,thursday
406,thursday
409,thursday
410,thursday
413,thursday
414,thursday
415,thursday
418,thursday
420,thursday
421,thursday
422,thursday
424,thursday
425,thursday
426,thursday
427,thursday
428,thursday
429,thursday
430,wednesday
431,wednesday
432,thursday
433,thursday
434,thursday
435,thursday
436,thursday
442,thursday
446,thursday
447,thursday
448,thursday
449,wednesday
450,wednesday
451,wednesday
452,thursday
453,thursday
454,thursday
456,wednesday
457,thursday
458,thursday
461,wednesday
463,wednesday
464,wednesday
467,thursday
468,wednesday
469,wednesday
470,wednesday
472,wednesday
473,wednesday
474,wednesday
475,thursday
478,thursday
480,wednesday
481,wednesday
483,wednesday
484,thursday
485,wednesday
486,wednesday
487,thursday
488,thursday
491,thursday
493,thursday
494,wednesday
495,wednesday
496,wednesday
497,thursday
499,thursday
500,thursday
501,thursday
502,thursday
503,wednesday
504,thursday
505,wednesday
506,wednesday
507,thursday
508,wednesday
509,thursday
510,thursday
511,thursday
512,wednesday
514,wednesday
515,wednesday
516,thursday
518,thursday
519,wednesday
521,wednesday
522,wednesday
523,thursday
524,thursday
525,wednesday
526,wednesday
527,thursday
528,thursday
529,thursday
530,wednesday
531,wednesday
532,thursday
533,thursday
534,wednesday
536,wednesday
537,thursday
538,wednesday
539,wednesday
540,wednesday
