canonical,variant
4-Pack On The Rocks Ready-to-Drink Cocktails,4-Pack On The Rocks Ready-to-Drink Cocktail
6-Pack Coca-Cola Soft Drink Products,6-Pack Coca-Cola Products
6-Pack Shock Top Beer,Shock Top Belgian White Wheat Ale
8-Pack Fever-Tree Products,8-Pack Fever-Tree Drink Mixers
Air Wick Scented Oil Refills,Air Wick Scented Oil Refill
All Fabric Softener or Sheets,Snuggle or All Fabric Softener
All Fabric Softener or Sheets,All Fabric Softener or Sheets or Snuggle Fabric Softener Sheets
Aloha Organic Protein Bar,"Aloha Organic Protein Bar, or Met-Rx Big 100 Protein or Meal Replacement Bar"
Amazing Taste Seasoning Shakers,Amazing Taste Seasoning Shaker
Amazing Taste Seasoning Shakers,Amazing Taste Shakers
AMC Theatres Microwave Popcorn,AMC Theatres Perfectly Popcorn Microwave Popcorn
Andes Indulgence Crme de Menthe,Andes Crme de Menthe; or Ritter Sport Premium European Milk Chocolates
Annie's Organic Bunny Crackers or Grahams,Annie's Organic Baked Crackers
Annie's Organic Bunny Crackers or Grahams,Annie's Organic Bunny Grahams or Baked Crackers
Arm & Hammer Dish Soap,Arm & Hammer Ultra Dish Liquid
Arm & Hammer Scent Booster,Arm & Hammer Scent Booster or Fabric Rinse
Arnold or Brownberry Bread,Arnold Bread
Arnold or Brownberry Bread,Arnold Country Style Bread
Athenos Traditional Crumbled Feta Cheese,Athenos Crumbled Feta Cheese
Athenos Traditional Crumbled Feta Cheese,Athenos Feta Chunk Cheese
Athenos Traditional Crumbled Feta Cheese,Athenos Feta Crumbled Cheese
Bachan's Japanese Barbecue or Dipping Sauce,Bachan's Japanese Barbecue Sauce
Bagel Bites Pizza Snacks or Mini Bagel Dogs,Bagel Bites Pizza Snacks
Bai Antioxidant Beverage,Bai Antioxidant Infusion or Cocofusion Beverage
Ball Park Franks,Ball Park Angus Beef Franks
Beemster Cheese,Beemster Truffle Gouda Cheese
"Belgian Boys Waffles, Pancakes, or Mini Pancakes",Belgian Boys Bite-Sized Pancakes
Belgioioso Fresh Mozzarella Cheese,Belgioioso Fresh Mozzarella
"BiC Wite-Out Correction Tape, Ez Correct",Bic EZ Correct Correction Tape
"BiC Wite-Out Correction Tape, Ez Correct","Bic Wite-Out Plus With Foam Brush or EZ Correct Correction Tape, White"
Bic Multi Purpose or Flex Lighter,Bic Lighter
Bic Multi Purpose or Flex Lighter,Bic Multi-Purpose Lighter
Bisquick Pancake & Baking Mix,"Bisquick Pancake & Baking Mix, Original"
Bliss Life Freeze Dried Candy,Bliss Life Freeze-Dried Candy
Blue Bunny Mini Swirls Frozen Dairy Dessert,Blue Bunny Mini Swirls Dairy Frozen Dessert
Bob Evans Side Dishes,"Bob Evans Side Dishes, Microwavable"
Bolthouse Farms 100% Juice Smoothie,Bolthouse Farms Fruit Smoothie
Botticelli Pasta Sauce,Botticelli Premium Pasta Sauce
Brillo Scrub Max Sponge,Brillo Scrub Max Sponges
