zipcode,storenumber,name,address,city,state,shortname
17214,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
17225,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
17235,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
17236,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
17237,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
17247,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
17250,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
17250,1885,Chancellor Crossing,5940 Plank Rd,Fredericksburg,VA,Chancellor Crossing
17256,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
17261,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
17263,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
17263,1885,Chancellor Crossing,5940 Plank Rd,Fredericksburg,VA,Chancellor Crossing
17268,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
17272,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
17320,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
17325,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
17327,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
17329,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
17331,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
17340,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
17343,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
17344,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
17355,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
19931,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
19933,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
19973,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
20001,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
20001,1885,Chancellor Crossing,5940 Plank Rd,Fredericksburg,VA,Chancellor Crossing
20001,1632,Publix at Cosner's Corner,9601 Patriot Hwy,Fredericksburg,VA,Cosner's Corner
20001,1591,Virginia Center Marketplace,10150 Brook Rd,Glen Allen,VA,Virginia Center
20001,1566,Nuckols Place,5400 Wyndham Forest Dr,Glen Allen,VA,Nuckols Place
20001,1626,Brandy Creek Commons,6603 Mechanicsville Tpke,Mechanicsville,VA,Brandy Creek Comm
20001,1589,The Shoppes at Crossridge,10250 Staples Mill Rd,Glen Allen,VA,Crossridge
20001,1595,Westpark Shopping Center,9645 W Broad St,Glen Allen,VA,Westpark Center
20001,1587,Short Pump Crossing Shopping Center,3460 Pump Rd,Henrico,VA,Short Pump Cr
20001,1590,John Rolfe Commons,2250 John Rolfe Pkwy,Henrico,VA,John Rolfe Commons
20001,1593,The Village Shopping Center,7035 Three Chopt Rd,Richmond,VA,The Village Center
20001,1588,Carytown Exchange,3535 Ellwood Ave,Richmond,VA,Carytown Exchange
20001,1596,White Oak Village,4591 S Laburnum Ave,Richmond,VA,White Oak Village
20001,1636,The Shops at Stratford Hills,7045 Forest Hill Ave,Richmond,VA,Stratford Hills
20002,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
20002,1885,Chancellor Crossing,5940 Plank Rd,Fredericksburg,VA,Chancellor Crossing
20002,1632,Publix at Cosner's Corner,9601 Patriot Hwy,Fredericksburg,VA,Cosner's Corner
20002,1591,Virginia Center Marketplace,10150 Brook Rd,Glen Allen,VA,Virginia Center
20002,1566,Nuckols Place,5400 Wyndham Forest Dr,Glen Allen,VA,Nuckols Place
20002,1626,Brandy Creek Commons,6603 Mechanicsville Tpke,Mechanicsville,VA,Brandy Creek Comm
20002,1589,The Shoppes at Crossridge,10250 Staples Mill Rd,Glen Allen,VA,Crossridge
20002,1595,Westpark Shopping Center,9645 W Broad St,Glen Allen,VA,Westpark Center
20002,1587,Short Pump Crossing Shopping Center,3460 Pump Rd,Henrico,VA,Short Pump Cr
20002,1590,John Rolfe Commons,2250 John Rolfe Pkwy,Henrico,VA,John Rolfe Commons
20002,1593,The Village Shopping Center,7035 Three Chopt Rd,Richmond,VA,The Village Center
20002,1588,Carytown Exchange,3535 Ellwood Ave,Richmond,VA,Carytown Exchange
20002,1596,White Oak Village,4591 S Laburnum Ave,Richmond,VA,White Oak Village
20002,1636,The Shops at Stratford Hills,7045 Forest Hill Ave,Richmond,VA,Stratford Hills
20003,1720,Embrey Mill Town Center,1640 Publix Way,Stafford,VA,Embrey Mill
20003,1885,Chancellor Crossing,5940 Plank Rd,Fredericksburg,VA,Chancellor Crossing
20003,1632,Publix at Cosner's Corner,9601 Patriot Hwy,Fredericksburg,VA,Cosner's Corner
20003,1591,Virginia Center Marketplace,10150 Brook Rd,Glen Allen,VA,Virginia Center
20003,1566,Nuckols Place,5400 Wyndham Forest Dr,Glen Allen,VA,Nuckols Place
20003,1589,The Shoppes at Crossridge,10250 Staples Mill Rd,Glen Allen,VA,Crossridge
20003,1626,Brandy Creek Commons,6603 Mechanicsville Tpke,Mechanicsville,VA,Brandy Creek Comm
