name,imgSrc,categories,dealType,digitalCoupon,isSelected
Publix Assorted Pork Loin Chops,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/publix_assorted_pork_loin_chops.jpg,Meat,BOGO,,false
General Mills Lucky Charms Cereal,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/general_mills_lucky_charms_cereal.jpg,Grocery,BOGO,Save $1.00 with digital coupon,false
Thomas' Products,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/thomas_products.jpg,Grocery,BOGO,,false
Hellmann's Mayonnaise,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/hellmanns_mayonnaise.jpg,Grocery,BOGO,,false
Wonder Bread,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/wonder_bread.jpg,Grocery,BOGO,,false
Premier Protein Protein Shake,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/premier_protein_protein_shake.jpg,Protein|Grocery,BOGO,,false
Cafe Bustelo K-Cup Coffee,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/cafe_bustelo_kcup_coffee.jpg,Grocery,BOGO,,false
Ghirardelli Premium Brownie Mix,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/ghirardelli_premium_brownie_mix.jpg,Grocery,BOGO,,false
A.1. Sauce,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/a1_sauce.jpg,Grocery,BOGO,,false
Hershey's Chocolate Candy Bars,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/hersheys_chocolate_candy_bars.jpg,Grocery,BOGO,,false
Zephyrhills Spring Water or Pure Life Purified Water,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/zephyrhills_spring_water_or_pure_life_purified_water.jpg,Grocery,BOGO,,false
Snyder's of Hanover Pretzels,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/snyders_of_hanover_pretzels.jpg,Grocery,BOGO,,false
Nabisco Family Size Oreo or Chips Ahoy! Cookies,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/nabisco_family_size_oreo_or_chips_ahoy_cookies.jpg,Grocery,BOGO,,false
Tostitos Tortilla Chips,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/tostitos_tortilla_chips.jpg,Grocery,BOGO,,false
Orville Redenbacher's Gourmet Popcorn,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/orville_redenbachers_gourmet_popcorn.jpg,Protein|Grocery,BOGO,,false
Gatorade Thirst Quencher,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/gatorade_thirst_quencher.jpg,Grocery,BOGO,Save $1.00 with digital coupon,false
Screamin' Sicilian Pizza Co. Pizza,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/screamin_sicilian_pizza_co_pizza.jpg,Frozen Food,BOGO,,false
Noosa Finest Yoghurt,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/noosa_finest_yoghurt.jpg,Protein|Dairy,BOGO,Save $0.50 with digital coupon,false
Mrs. Paul's Fish Entrees,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/mrs_pauls_fish_entrees.jpg,Frozen Food,BOGO,,false
Fage Greek Strained Yogurt,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/fage_greek_strained_yogurt.jpg,Protein|Dairy,BOGO,,false
Talenti Gelato,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/talenti_gelato.jpg,Frozen Food,BOGO,,false
Birds Eye Voila! Family Size Skillet Meals,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/birds_eye_voila_family_size_skillet_meals.jpg,Frozen Food,BOGO,,false
Starbucks Coffee Creamer,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/starbucks_coffee_creamer.jpg,Dairy,BOGO,,false
Planet Oat Oatmilk,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/planet_oat_oatmilk.jpg,Dairy,BOGO,,false
Mayfield Creamery Ice Cream,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/mayfield_creamery_ice_cream.jpg,Frozen Food,BOGO,,false
Nature's Truth Supplements,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/natures_truth_supplements.jpg,Health & Nutrition,BOGO,,false
Arm & Hammer Toothpaste,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/arm_hammer_toothpaste.jpg,Beauty & Personal Care,BOGO,,false
Dr. Squatch Deodorant Products,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/dr_squatch_deodorant_products.jpg,Beauty & Personal Care,BOGO,,false
Harry's Razor Handle,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/harrys_razor_handle.jpg,Beauty & Personal Care,BOGO,,false
Purex Laundry Detergent,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/purex_laundry_detergent.jpg,Non-Foods,BOGO,,false
Arm & Hammer Dish Soap,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/arm_hammer_dish_soap.jpg,Non-Foods,BOGO,,false
Resolve Carpet Cleaner,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/resolve_carpet_cleaner.jpg,Non-Foods,BOGO,,false
Royal Oak Hardwood Lump Charcoal,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/royal_oak_hardwood_lump_charcoal.jpg,Non-Foods,BOGO,,false
Solo Plastic Cups,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/solo_plastic_cups.jpg,Non-Foods,BOGO,,false
Green Gobbler Drain Clog Dissolver,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/green_gobbler_drain_clog_dissolver.jpg,Non-Foods,BOGO,,false
Meow Mix Cat Food,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/meow_mix_cat_food.jpg,Pet,BOGO,,false
Bic Multi Purpose or Flex Lighter,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/bic_multi_purpose_or_flex_lighter.jpg,Non-Foods,BOGO,,false
Good 'n' Fun Snack for Dogs,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/good_n_fun_snack_for_dogs.jpg,Pet,BOGO,,false
Village Candle,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/village_candle.jpg,Non-Foods,BOGO,,false
White Cloud Diapers,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/white_cloud_diapers.jpg,Baby,BOGO,,false
